Grapheme	Name	Unicode	ID
a̤	breathy voiced low central unrounded	0061U0324	3395
ɯa	diphtong high low central back unrounded lowering fronting	026FU0061	1482
ɨa	diphtong high low central unrounded lowering	0268U0061	4959
aɨ	diphtong high low central unrounded rising	0061U0268	1544
aʉ	diphtong high low central unrounded rounded rising rounding	0061U0289	1566
aʊ	diphtong lowered high low central back unrounded rounded rising backing rounding	0061U028A	1472
aɪ	diphtong lowered high low front central unrounded rising fronting	0061U026A	1471
æ̤	breathy voiced raised low front unrounded	00E6U0324	1660
aə	diphtong higher mid low central unrounded rising	0061U0259	1567
ae	diphtong higher mid low front central unrounded rising fronting	0061U0065	1546
æʉ	diphtong high raised low front central unrounded rounded rising backing rounding	00E6U0289	4702
æi	diphtong high raised low front unrounded rising	00E6U0069	4691
æː	long raised low front unrounded	00E6U02D0	5505
ãẽ	nasalized diphtong higher mid low front central unrounded rising fronting	0061U0303U0065U0303	1565
æ̃ː	nasalized long raised low front unrounded	00E6U0303U02D0	1768
æ̃	nasalized raised low front unrounded	00E6U0303	5355
æ	raised low front unrounded	00E6	196
ai	diphtong high low front central unrounded rising fronting	0061U0069	5799
a̰ḭ	laryngealized diphtong high low front central unrounded rising fronting	0061U0330U0069U0330	6069
ãĩ	nasalized diphtong high low front central unrounded rising fronting	0061U0303U0069U0303	1498
ã̰ḭ̃	nasalized laryngealized diphtong high low front central unrounded rising fronting	0061U0330U0303U0069U0303U0330	6071
a̰ː	laryngealized long low central unrounded	0061U0330U02D0	1682
a̰	laryngealized low central unrounded	0061U0330	1654
aːɨ	long diphtong high low central unrounded rising	0061U02D0U0268	1569
aː	long low central unrounded	0061U02D0	5465
a̟ː	long low front unrounded	0061U031FU02D0	4982
a	low central unrounded	0061	199
a̟	low front unrounded	0061U031F	5210
ãʉ̃	nasalized diphtong high low central unrounded rounded rising rounding	0061U0303U0289U0303	1564
ã̰	nasalized laryngealized low central unrounded	0061U0303U0330	1690
ãː	nasalized long low central unrounded	0061U0303U02D0	5467
ã	nasalized low central unrounded	0061U0303	5870
ã̟	nasalized low front unrounded	0061U031FU0303	1718
ao	diphtong higher mid low central back unrounded rounded rising backing rounding	0061U006F	1485
ă	overshort low central unrounded	0061U0306	3076
aˤ	pharyngealized  low central unrounded	0061U02E4	1685
au	diphtong high low central back unrounded rounded rising backing rounding	0061U0075	5798
a̰ṵ	laryngealized diphtong high low central back unrounded rounded rising backing rounding	0061U0330U0075U0330	6070
ãũ	nasalized diphtong high low central back unrounded rounded rising backing rounding	0061U0303U0075U0303	1563
ã̰ṵ̃	nasalized laryngealized diphtong high low central back unrounded rounded rising backing rounding	0061U0303U0330U0075U0303U0330	6072
ḁ	voiceless low central unrounded	0061U0325	4000
ɓ	implosive stop voiced bilabial	0253	107
ɓʲ	implosive stop voiced palatalized bilabial	0253U02B2	2152
ɓ̥	implosive stop voiceless bilabial	0253U0325	4030
b̤	pulmonic stop breathy voiced bilabial	0062U0324	4324
b	pulmonic stop voiced bilabial	0062	3
ɡb	pulmonic stop voiced bilabial velar	0261U0062	130
bʷ	pulmonic stop voiced labialized bilabial	0062U02B7	1865
b̰	pulmonic stop voiced laryngealized bilabial	0062U0330	3421
bʲ	pulmonic stop voiced palatalized bilabial	0062U02B2	3078
bˤ	pulmonic stop voiced pharyngealized  bilabial	0062U02E4	5958
bˠ	pulmonic stop voiced velarized bilabial	0062U02E0	1980
