Grapheme	Name	Unicode	ID
bv	pulmonic affricate voiced bilabial labio-dental	0062U0076	2035
bβ	pulmonic affricate voiced bilabial	0062U03B2	1998
cçʼ	ejective affricate palatal	0063U00E7U02BC	6031
cç	pulmonic affricate voiceless palatal	0063U00E7	3214
cʼ	ejective stop palatal	0063U02BC	1900
ɡǁ	click stop lateral voiced alveolar velar	0261U01C1	1366
ɡǀ	click stop voiced dental velar	0261U01C0	1367
ɡǃ	click stop voiced palato-alveolar velar	0261U01C3	1365
cɕʰ	pulmonic affricate aspirated voiceless palatalized palato-alveolar	0063U0255U02B0	2084
ɲcɕ	pulmonic affricate prenasalized voiceless palatalized palato-alveolar	0272U0063U0255	2083
cɕ	pulmonic affricate voiceless palatalized palato-alveolar	0063U0255	5879
ç	pulmonic fricative voiceless palatal	00E7	50
cʰ	pulmonic stop aspirated voiceless palatal	0063U02B0	4990
c	pulmonic stop voiceless palatal	0063	9
ɗ	implosive stop voiced alveolar	0257	109
ɗ̪	implosive stop voiced dental	0257U032A	1816
ɗ̪ʲ	implosive stop voiced palatalized dental	0257U032AU02B2	2165
'ɗ'	implosive stop voiced unspecified coronal place	0027U0257U0027	1863
ɯʌ	diphtong high lower mid back unrounded lowering	026FU028C	1511
d̪l̪	pulmonic approximant lateral pre-stopped voiced dental	0064U032AU006CU032A	1958
dl	pulmonic stop approximant lateral voiced alveolar	0064U006C	6104
dn	pulmonic stop voiced alveolar	0064U006E	6101
d̪n̪	pulmonic stop voiced dental	0064U032AU006EU032A	6100
dɮ	pulmonic affricate lateral voiced alveolar	0064U026E	5771
'dɮ'	pulmonic affricate lateral voiced unspecified coronal place	0027U0064U026EU0027	5939
dʑ	pulmonic affricate sibilant voiced palatalized palato-alveolar	0064U0291	145
ɖʐ	pulmonic affricate sibilant voiced retroflex	0256U0290	141
ð̞	pulmonic approximant voiced dental	00F0U031E	2091
ð̞ʲ	pulmonic approximant voiced palatalized dental	00F0U031EU02B2	1868
ð̠	pulmonic fricative voiced alveolar	00F0U0320	4161
ð	pulmonic fricative voiced dental	00F0	62
ɖɭ	pulmonic stop approximant lateral voiced retroflex	0256U026D	6105
d̤	pulmonic stop breathy voiced alveolar	0064U0324	1996
d̪̤	pulmonic stop breathy voiced dental	0064U032AU0324	4321
ɖ̤	pulmonic stop breathy voiced retroflex	0256U0324	4323
ɳɖɽ	pulmonic stop prenasalized trilled release voiced retroflex	0273U0256U027D	2000
ɳɖ	pulmonic stop prenasalized voiced retroflex	0273U0256	2146
ɖɽ	pulmonic stop trilled release voiced retroflex	0256U027D	2001
d	pulmonic stop voiced alveolar	0064	6
d̪̤ʲ	pulmonic stop voiced breathy voiced palatalized dental	0064U032AU0324U02B2	5948
d̪	pulmonic stop voiced dental	0064U032A	5878
dʷ	pulmonic stop voiced labialized alveolar	0064U02B7	1903
d̰	pulmonic stop voiced laryngealized alveolar	0064U0330	3419
ɖ̰	pulmonic stop voiced laryngealized retroflex	0256U0330	5942
ɖː	pulmonic stop voiced long retroflex	0256U02D0	2233
dʲ	pulmonic stop voiced palatalized alveolar	0064U02B2	2960
d̪ʲ	pulmonic stop voiced palatalized dental	0064U032AU02B2	1938
d̠ʲ	pulmonic stop voiced palatalized retracted	0064U0320U02B2	1978
d̠	pulmonic stop voiced palato-alveolar	0064U0320	23
dˤ	pulmonic stop voiced pharyngealized  alveolar	0064U02E4	2231
d̪ˤ	pulmonic stop voiced pharyngealized  dental	0064U032AU02E4	5514
'dˤ'	pulmonic stop voiced pharyngealized  unspecified coronal place	0027U0064U02E4U0027	2277
ɖ	pulmonic stop voiced retroflex	0256	8
ɖɳ	pulmonic stop voiced retroflex	0256U0273	6102
'd'	pulmonic stop voiced unspecified coronal place	0027U0064U0027	232
d̪ˠ	pulmonic stop voiced velarized dental	0064U032AU02E0	1979
d̤z̤	pulmonic affricate sibilant breathy voiced alveolar	0064U0324U007AU0324	2126
dz	pulmonic affricate sibilant voiced alveolar	0064U007A	5770
dz̫	pulmonic affricate sibilant voiced alveolar whistled	0064U007AU032B	6024
d̪z̪	pulmonic affricate sibilant voiced dental	0064U032AU007AU032A	4155
dzʷ	pulmonic affricate sibilant voiced labialized alveolar	0064U007AU02B7	1898
d̪z̪ʲ	pulmonic affricate sibilant voiced palatalized dental alveolar	0064U032AU007AU032AU02B2	5962
'dz'	pulmonic affricate sibilant voiced unspecified coronal place	0027U0064U007AU0027	234
d̤ʒ̤	pulmonic affricate sibilant breathy voiced palato-alveolar	0064U0324U0292U0324	4319
d̠ʒ̤	pulmonic affricate sibilant voiced breathy voiced palato-alveolar retracted	0064U0320U0292U0324	6011
d̠̤ʒ̤	pulmonic affricate sibilant voiced breathy voiced palato-alveolar retracted	0064U0320U0324U0292U0324	6090
d̠ʒʲ	pulmonic affricate sibilant voiced palatalized palato-alveolar retracted	0064U0320U0292U02B2	5964
d̠ʒ	pulmonic affricate sibilant voiced palato-alveolar	0064U0320U0292	139
d̠ʒ̫	pulmonic affricate sibilant voiced palato-alveolar retracted whistled	0064U0320U0292U032B	6026
ɲd̠ʒ	pulmonic stop fricative sibilant prenasalized voiced alveolar palato-alveolar retracted	0272U0064U0320U0292	5956
əa	diphtong higher mid low central unrounded lowering	0259U0061	1591
ea	diphtong higher mid low front central unrounded lowering backing	0065U0061	1580
ə̤	breathy voiced higher mid central unrounded	0259U0324	1662
e̤	breathy voiced higher mid front unrounded	0065U0324	3394
ɛ̤	breathy voiced lower mid front unrounded	025BU0324	3399
əɯ	diphtong high higher mid central back unrounded rising backing	0259U026F	1525
ɨə	diphtong high higher mid central unrounded lowering	0268U0259	1558
əɨ	diphtong high higher mid central unrounded rising	0259U0268	1571
ɛʉ	diphtong high lower mid front central unrounded rounded rising backing rounding	025BU0289	5921
ʊə	diphtong lowered high higher mid central back unrounded rounded lowering fronting unrounding	028AU0259	1503
eʊ	diphtong lowered high higher mid front back unrounded rounded rising backing rounding	0065U028A	5954
eɪ	diphtong lowered high higher mid front unrounded rising	0065U026A	1507
eə	diphtong higher mid front central unrounded backing	0065U0259	4976
ẽə̃	diphtong higher mid front central unrounded backing nasalizing	0065U0303U0259U0303	6076
ɛə	diphtong higher mid lower mid front central unrounded rising backing	025BU0259	1504
ḛə̰	laryngealized diphtong higher mid front central unrounded backing	0065U0330U0259U0330	6084
ḛ̃ə̰̃	laryngealized diphtong higher mid front central unrounded backing nasalizing	0065U0330U0303U0259U0303U0330	6080
ee̥	voiceless diphtong higher mid front unrounded	0065U0065U0325	1489
ə	higher mid central unrounded	0259	209
e	higher mid front unrounded	0065	184
əi	diphtong high higher mid front central unrounded rising fronting	0259U0069	1545
ei	diphtong high higher mid front unrounded rising	0065U0069	2381
ɛi	diphtong high lower mid front unrounded rising	025BU0069	1486
ẽĩ	nasalized diphtong high higher mid front unrounded rising	0065U0303U0069U0303	2434
ʈʂʼ	ejective affricate sibilant retroflex	0288U0282U02BC	1810
ɸʼ	ejective fricative bilabial	0278U02BC	6096
ɬʼ	ejective fricative lateral alveolar	026CU02BC	2024
ʃʼ	ejective fricative sibilant palato-alveolar	0283U02BC	6060
ʂʼ	ejective fricative sibilant retroflex	0282U02BC	6061
ə̰	laryngealized higher mid central unrounded	0259U0330	1653
ḛ	laryngealized higher mid front unrounded	0065U0330	1650
ɛ̰	laryngealized lower mid front unrounded	025BU0330	4713
əː	long higher mid central unrounded	0259U02D0	4986
eː	long higher mid front unrounded	0065U02D0	5506
ɛː	long lower mid front unrounded	025BU02D0	5306
'əː'	long unspecified mid central unrounded	0027U0259U02D0U0027	5498
'eː'	long unspecified mid front unrounded	0027U0065U02D0U0027	1640
ɛ	lower mid front unrounded	025B	194
ə̃	nasalized higher mid central unrounded	0259U0303	5873
ẽ	nasalized higher mid front unrounded	0065U0303	5869
ə̰̃	nasalized laryngealized higher mid central unrounded	0259U0303U0330	6054
ḛ̃	nasalized laryngealized higher mid front unrounded	0065U0303U0330	1688
ḛ̃	nasalized laryngealized higher mid front unrounded	0065U0330U0303	6067
ɛ̰̃	nasalized laryngealized lower mid front unrounded	025BU0303U0330	6053
ɛ̰̃	nasalized laryngealized lower mid front unrounded	025BU0330U0303	6089
ə̃ː	nasalized long higher mid central unrounded	0259U0303U02D0	1767
ẽː	nasalized long higher mid front unrounded	0065U0303U02D0	1612
ɛ̃ː	nasalized long lower mid front unrounded	025BU0303U02D0	5305
'ẽː'	nasalized long unspecified mid front unrounded	0027U0065U0303U02D0U0027	1643
ɛ̃	nasalized lower mid front unrounded	025BU0303	5872
'ə̃'	nasalized unspecified mid central unrounded	0027U0259U0303U0027	1717
'ẽ'	nasalized unspecified mid front unrounded	0027U0065U0303U0027	1641
eo	diphtong higher mid front back unrounded rounded backing rounding	0065U006F	2380
ə̰̃õ̰	laryngealized diphtong higher mid central back unrounded rounded backing rounding nasalizing	0259U0330U0303U006FU0303U0330	6082
ə̆	overshort higher mid central unrounded	0259U0306	2321
ĕ	overshort higher mid front unrounded	0065U0306	1782
ɛ̆	overshort lower mid front unrounded	025BU0306	1783
əu	diphtong high higher mid central back unrounded rounded rising backing rounding	0259U0075	5801
eu	diphtong high higher mid front back unrounded rounded rising backing rounding	0065U0075	1502
ɛu	diphtong high lower mid front back unrounded rounded rising backing rounding	025BU0075	1484
'ə'	unspecified mid central unrounded	0027U0259U0027	243
'ə˞'	unspecified mid central unrounded rhotacized	0027U0259U02DEU0027	1728
'e'	unspecified mid front unrounded	0027U0065U0027	226
ɛ̥	voiceless lower mid front unrounded	025BU0325	6057
ȹf	pulmonic affricate sibilant voiceless labio-dental	0239U0066	148
fʷ	pulmonic fricative voiceless labialized labio-dental	0066U02B7	2038
f	pulmonic fricative voiceless labio-dental	0066	48
fː	pulmonic fricative voiceless long labio-dental	0066U02D0	2789
fʲ	pulmonic fricative voiceless palatalized labio-dental	0066U02B2	1937
fˤ	pulmonic fricative voiceless pharyngealized  labio-dental	0066U02E4	5959
fˠ	pulmonic fricative voiceless velarized labio-dental	0066U02E0	1974
ɠɓ	implosive stop voiced bilabial velar	0260U0253	136
ɠ	implosive stop voiced velar	0260	111
ɯ	high back unrounded	026F	188
ʉ	high central rounded	0289	187
ɨ	high central unrounded	0268	186
ɤ	higher mid back unrounded	0264	193
h̃	pulmonic fricative nasalized voiceless glottal	0068U0303	1840
h	pulmonic fricative voiceless glottal	0068	58
hʷ	pulmonic fricative voiceless labialized glottal	0068U02B7	4298
ħʷ	pulmonic fricative voiceless labialized pharyngeal	0127U02B7	1895
hʲ	pulmonic fricative voiceless palatalized glottal	0068U02B2	2199
ħ	pulmonic fricative voiceless pharyngeal	0127	56
ia	diphtong high low front central unrounded lowering backing	0069U0061	4960
i̤	breathy voiced high front unrounded	0069U0324	3393
ɯi	diphtong high front back unrounded fronting	026FU0069	2755
iɨ	diphtong high front central unrounded backing	0069U0268	1474
ɨi	diphtong high front central unrounded fronting	0268U0069	2379
iɤ	diphtong high higher mid front back unrounded lowering backing	0069U0264	5947
ɤi	diphtong high higher mid front back unrounded rising fronting	0264U0069	1542
ʊi	diphtong high lowered high front back unrounded rounded rising fronting unrounding	028AU0069	5120
iʌ	diphtong high lower mid front back unrounded lowering backing	0069U028C	1512
ɜi	diphtong high lower mid front central unrounded rising fronting	025CU0069	1517
iə	diphtong high higher mid front central unrounded lowering backing	0069U0259	3417
ĩə̃	diphtong high higher mid front central unrounded lowering backing nasalizing	0069U0303U0259U0303	6075
ie	diphtong high higher mid front unrounded lowering	0069U0065	2877
ḭə̰	laryngealized diphtong high higher mid front central unrounded lowering backing	0069U0330U0259U0330	6083
ḭ̃ə̰̃	laryngealized diphtong high higher mid front central unrounded lowering backing nasalizing	0069U0330U0303U0259U0303U0330	6079
ḭḛ	laryngealized diphtong high higher mid front unrounded lowering	0069U0330U0065U0330	6087
i	high front unrounded	0069	180
ii̥	voiceless diphtong high front unrounded	0069U0069U0325	1487
ḭ	laryngealized high front unrounded	0069U0330	1649
ḭː	laryngealized long high front unrounded	0069U0330U02D0	1684
iː	long high front unrounded	0069U02D0	5504
ʄ	implosive stop voiced palatal	0284	117
ᶑ	implosive stop voiced retroflex	1D91	115
ʛ	implosive stop voiced uvular	029B	113
ʄ̥	implosive stop voiceless palatal	0284U0325	118
ᶑ̥	implosive stop voiceless retroflex	1D91U0325	116
ɨ̃ĩ	nasalized diphtong high front central unrounded fronting	0268U0303U0069U0303	1499
ĩ	nasalized high front unrounded	0069U0303	5874
ḭ̃	nasalized laryngealized high front unrounded	0069U0303U0330	1668
ḭ̃	nasalized laryngealized high front unrounded	0069U0330U0303	6066
ĩː	nasalized long high front unrounded	0069U0303U02D0	5470
io	diphtong high higher mid front back unrounded rounded lowering backing rounding	0069U006F	1541
ĭ	overshort high front unrounded	0069U0306	3075
i̝	supra high front unrounded	0069U031D	1727
iu	diphtong high front back unrounded rounded backing rounding	0069U0075	2378
i̥	voiceless high front unrounded	0069U0325	3999
j̃	pulmonic approximant nasalized voiced palatal	006AU0303	1849
j̰	pulmonic approximant voiced laryngealized palatal	006AU0330	4972
j	pulmonic approximant voiced palatal	006A	68
j̥	pulmonic approximant voiceless palatal	006AU0325	4944
kǀʰ	click stop aspirated voiceless dental velar	006BU01C0U02B0	1330
kǃʰ	click stop aspirated voiceless palato-alveolar velar	006BU01C3U02B0	1327
kǁʰ	click stop lateral aspirated voiceless alveolar velar	006BU01C1U02B0	1328
kǁ	click stop lateral voiceless alveolar velar	006BU01C1	1343
kǁʔ	click stop lateral voiceless alveolar velar glottal	006BU01C1U0294	1348
kǀ	click stop voiceless dental velar	006BU01C0	1345
kǀʔ	click stop voiceless dental velar glottal	006BU01C0U0294	1346
kǂ	click stop voiceless palatal velar	006BU01C2	1344
kǃ	click stop voiceless palato-alveolar velar	006BU01C3	1342
kǃʔ	click stop voiceless palato-alveolar velar glottal	006BU01C3U0294	1349
kʷʼ	ejective stop labialized velar	006BU02B7U02BC	1843
kʲʼ	ejective stop palatalized velar	006BU02B2U02BC	1915
kʼ	ejective stop velar	006BU02BC	1813
kŋʷ	pulmonic stop voiceless labialized velar nasal release	006BU014BU02B7	2171
kŋ	pulmonic stop voiceless velar nasal release	006BU014B	2190
kpŋm	pulmonic stop voiceless bilabial velar nasal release	006BU0070U014BU006D	2191
kpʰ	pulmonic stop aspirated voiceless bilabial velar	006BU0070U02B0	2095
kp	pulmonic stop voiceless bilabial velar	006BU0070	2750
kpʷ	pulmonic stop voiceless labialized bilabial velar	006BU0070U02B7	2088
kʷʰ	pulmonic stop aspirated voiceless labialized velar	006BU02B7U02B0	4166
kʰʲ	pulmonic stop aspirated voiceless palatalized velar	006BU02B0U02B2	5971
kʲʰ	pulmonic stop aspirated voiceless palatalized velar	006BU02B2U02B0	4164
kʰ	pulmonic stop aspirated voiceless velar	006BU02B0	5809
ʰkʷ	pulmonic stop pre-aspirated voiceless labialized velar	02B0U006BU02B7	6007
ʰk	pulmonic stop pre-aspirated voiceless velar	02B0U006B	2132
kʷ	pulmonic stop voiceless labialized velar	006BU02B7	5794
k̰	pulmonic stop voiceless laryngealized velar	006BU0330	3257
kː	pulmonic stop voiceless long velar	006BU02D0	3022
kʲ	pulmonic stop voiceless palatalized velar	006BU02B2	1880
kˤ	pulmonic stop voiceless pharyngealized  velar	006BU02E4	1965
k	pulmonic stop voiceless velar	006B	11
kxʷ	pulmonic affricate voiceless labialized velar	006BU0078U02B7	1834
kx	pulmonic affricate voiceless velar	006BU0078	158
ɯ̰	laryngealized high back unrounded	026FU0330	5998
ɨ̰	laryngealized high central unrounded	0268U0330	1652
ɑ̰	laryngealized low back unrounded	0251U0330	5999
ɯː	long high back unrounded	026FU02D0	4989
ʉː	long high central rounded	0289U02D0	1790
ɨː	long high central unrounded	0268U02D0	5297
ɤː	long higher mid back unrounded	0264U02D0	1632
ɒː	long low back rounded	0252U02D0	1803
ɑː	long low back unrounded	0251U02D0	5034
ʊː	long lowered high back rounded	028AU02D0	2601
ɪː	long lowered high front unrounded	026AU02D0	1701
ʌː	long lower mid back unrounded	028CU02D0	1626
ɜː	long lower mid central unrounded	025CU02D0	1804
ɐː	long raised low central unrounded	0250U02D0	1737
ɒ	low back rounded	0252	198
ɑ	low back unrounded	0251	206
ʊ	lowered high back rounded	028A	190
ɯ̞	lowered high back unrounded	026FU031E	191
ɨ̞	lowered high central unrounded	0268U031E	219
ʏ	lowered high front rounded	028F	183
ɪ	lowered high front unrounded	026A	182
ʌ	lower mid back unrounded	028C	202
ɜ	lower mid central unrounded	025C	201
l̤	pulmonic approximant lateral breathy voiced alveolar	006CU0324	1953
l̪̤	pulmonic approximant lateral breathy voiced dental	006CU032AU0324	2207
'l̃'	pulmonic approximant lateral nasalized voiced unspecified coronal place	0027U006CU0303U0027	5937
l	pulmonic approximant lateral voiced alveolar	006C	95
l̪	pulmonic approximant lateral voiced dental	006CU032A	5512
l̰	pulmonic approximant lateral voiced laryngealized alveolar	006CU0330	4949
l̪̰	pulmonic approximant lateral voiced laryngealized dental	006CU032AU0330	6056
lʲ	pulmonic approximant lateral voiced palatalized alveolar	006CU02B2	3083
l̪ʲ	pulmonic approximant lateral voiced palatalized dental	006CU032AU02B2	1944
l̠ʲ	pulmonic approximant lateral voiced palatalized retracted	006CU0320U02B2	1984
'lʲ'	pulmonic approximant lateral voiced palatalized unspecified coronal place	0027U006CU02B2U0027	2111
l̠	pulmonic approximant lateral voiced palato-alveolar	006CU0320	3821
lˤ	pulmonic approximant lateral voiced pharyngealized  alveolar	006CU02E4	2230
l̪ˤ	pulmonic approximant lateral voiced pharyngealized  dental	006CU032AU02E4	1969
'lˤ'	pulmonic approximant lateral voiced pharyngealized  unspecified coronal place	0027U006CU02E4U0027	2283
'l'	pulmonic approximant lateral voiced unspecified coronal place	0027U006CU0027	242
lˠ	pulmonic approximant lateral voiced velarized alveolar	006CU02E0	4992
l̪ˠ	pulmonic approximant lateral voiced velarized dental	006CU032AU02E0	1805
l̥	pulmonic approximant lateral voiceless alveolar	006CU0325	5813
l̪̥	pulmonic approximant lateral voiceless dental	006CU032AU0325	103
l̠̥	pulmonic approximant lateral voiceless palato-alveolar	006CU0320U0325	105
'l̥'	pulmonic approximant lateral voiceless unspecified coronal place	0027U006CU0325U0027	2118
mb	pulmonic stop prenasalized voiced bilabial	006DU0062	5777
mbʷ	pulmonic stop prenasalized voiced labialized bilabial	006DU0062U02B7	2123
mbʲ	pulmonic stop prenasalized voiced palatalized bilabial	006DU0062U02B2	2108
mbβ	pulmonic affricate prenasalized voiced bilabial	006DU0062U03B2	2222
mpʰ	pulmonic stop prenasalized aspirated voiceless bilabial	006DU0070U02B0	5807
mp	pulmonic stop prenasalized voiceless bilabial	006DU0070	5808
mpʷ	pulmonic stop prenasalized voiceless labialized bilabial	006DU0070U02B7	2174
mpʷʲ	pulmonic stop prenasalized voiceless labialized palatalized bilabial	006DU0070U02B7U02B2	2173
mpʲ	pulmonic stop prenasalized voiceless palatalized bilabial	006DU0070U02B2	2179
m̤	pulmonic nasal breathy voiced bilabial	006DU0324	1956
m	pulmonic nasal voiced bilabial	006D	4
mʷ	pulmonic nasal voiced labialized bilabial	006DU02B7	1864
mʷʲ	pulmonic nasal voiced labialized palatalized bilabial	006DU02B7U02B2	2196
m̰	pulmonic nasal voiced laryngealized bilabial	006DU0330	4950
mː	pulmonic nasal voiced long bilabial	006DU02D0	2129
mʲ	pulmonic nasal voiced palatalized bilabial	006DU02B2	3084
mˤ	pulmonic nasal voiced pharyngealized  bilabial	006DU02E4	5960
mˠ	pulmonic nasal voiced velarized bilabial	006DU02E0	1977
m̥	pulmonic nasal voiceless bilabial	006DU0325	5812
m̥ʷ	pulmonic nasal voiceless labialized bilabial	006DU0325U02B7	5946
mβʲ	pulmonic fricative prenasalized voiced palatalized bilabial	006DU03B2U02B2	5988
ɯ̃	nasalized high back unrounded	026FU0303	3233
ʉ̃	nasalized high central rounded	0289U0303	1681
ɨ̃	nasalized high central unrounded	0268U0303	1611
ɤ̃	nasalized higher mid back unrounded	0264U0303	5952
ɨ̞̃	nasalized high lowered high central unrounded	0268U0303U031E	5903
ɨ̰̃	nasalized laryngealized high central unrounded	0268U0303U0330	1689
ɯ̃ː	nasalized long high back unrounded	026FU0303U02D0	1624
ʉ̃ː	nasalized long high central rounded	0289U0303U02D0	1789
ɨ̃ː	nasalized long high central unrounded	0268U0303U02D0	5308
ɒ̃ː	nasalized long low back rounded	0252U0303U02D0	1775
ɑ̃ː	nasalized long low back unrounded	0251U0303U02D0	5032
ʊ̃ː	nasalized long lowered high back rounded	028AU0303U02D0	1774
ʌ̃ː	nasalized long lower mid back unrounded	028CU0303U02D0	1627
ɒ̃	nasalized low back rounded	0252U0303	1716
ɑ̃	nasalized low back unrounded	0251U0303	5033
ʊ̃	nasalized lowered high back rounded	028AU0303	3341
ɪ̃	nasalized lowered high front unrounded	026AU0303	3343
ʌ̃	nasalized lower mid back unrounded	028CU0303	3230
ɜ̃	nasalized lower mid central unrounded	025CU0303	5307
ɐ̃	nasalized raised low central unrounded	0250U0303	1694
'ɤ̃'	nasalized unspecified mid back unrounded	0027U0264U0303U0027	1743
n̠d̠ʑ	pulmonic affricate sibilant prenasalized voiced palatalized palato-alveolar retracted	006EU0320U0064U0320U0291	5940
nd	pulmonic stop prenasalized voiced alveolar	006EU0064	5779
n̪d̪	pulmonic stop prenasalized voiced dental	006EU032AU0064U032A	5780
ndʷ	pulmonic stop prenasalized voiced labialized alveolar	006EU0064U02B7	6064
ndʲ	pulmonic stop prenasalized voiced palatalized alveolar	006EU0064U02B2	2166
n̠d̠ʲ	pulmonic stop prenasalized voiced palatalized palato-alveolar	006EU0320U0064U0320U02B2	1858
n̠d̠	pulmonic stop prenasalized voiced palato-alveolar	006EU0320U0064U0320	1875
'nd'	pulmonic stop prenasalized voiced unspecified coronal place	0027U006EU0064U0027	1856
ndr	pulmonic stop prenasalized trilled release voiced alveolar	006EU0064U0072	1874
n̪d̪z̪	pulmonic affricate sibilant prenasalized voiced dental	006EU032AU0064U032AU007AU032A	2157
ndz	pulmonic stop affricate sibilant prenasalized voiced alveolar	006EU0064U007A	5782
n̠d̠ʒ	pulmonic affricate sibilant prenasalized voiced palato-alveolar	006EU0320U0064U0320U0292	5781
ŋǁ	click nasal lateral voiced alveolar velar	014BU01C1	1339
ŋǀ	click nasal voiced dental velar	014BU01C0	1341
ŋǂ	click nasal voiced palatal velar	014BU01C2	1340
ŋǃ	click nasal voiced palato-alveolar velar	014BU01C3	1338
ŋ̥ǁʔ	click stop nasal lateral voiceless alveolar velar glottal	014BU0325U01C1U0294	1411
ŋ̥ǀʔ	click stop nasal voiceless dental velar glottal	014BU0325U01C0U0294	1405
ŋ̥ǂʔ	click stop nasal voiceless palatal velar glottal	014BU0325U01C2U0294	1408
ŋ̥ǃʔ	click stop nasal voiceless palato-alveolar velar glottal	014BU0325U01C3U0294	1414
ŋ̥ǁh̃	click fricative nasal lateral nasalized voiceless alveolar velar glottal	014BU0325U01C1U0068U0303	1412
ŋ̥ǀh̃	click fricative nasal nasalized voiceless dental velar glottal	014BU0325U01C0U0068U0303	1406
ŋ̥ǂh̃	click fricative nasal nasalized voiceless palatal velar glottal	014BU0325U01C2U0068U0303	1409
ŋ̥ǃh̃	click fricative nasal nasalized voiceless palato-alveolar velar glottal	014BU0325U01C3U0068U0303	1415
ŋkʰ	pulmonic stop prenasalized aspirated voiceless velar	014BU006BU02B0	5816
ŋkʷ	pulmonic stop prenasalized voiceless labialized velar	014BU006BU02B7	2172
ŋkʲ	pulmonic stop prenasalized voiceless palatalized velar	014BU006BU02B2	2253
ŋk	pulmonic stop prenasalized voiceless velar	014BU006B	5817
ŋmɡb	pulmonic stop prenasalized voiced bilabial velar	014BU006DU0261U0062	1854
ŋmkp	pulmonic stop prenasalized voiceless bilabial velar	014BU006DU006BU0070	2180
ŋm	pulmonic nasal voiced bilabial velar	014BU006D	3975
ŋmʷ	pulmonic nasal voiced labialized bilabial velar	014BU006DU02B7	6015
ŋʷ	pulmonic nasal voiced labialized velar	014BU02B7	4027
ŋ̰	pulmonic nasal voiced laryngealized velar	014BU0330	3845
ŋʲ	pulmonic nasal voiced palatalized velar	014BU02B2	2251
ŋ	pulmonic nasal voiced velar	014B	33
ŋ̥	pulmonic nasal voiceless velar	014BU0325	3972
ŋɡʷ	pulmonic stop prenasalized voiced labialized velar	014BU0261U02B7	1857
