ID,Name,Description,CLTS_BIPA,CLTS_Name,LAPSYD_Features
ee_u0065u0065u0325,ee̥,voiceless diphtong higher mid front unrounded,e̥ː,long devoiced unrounded close-mid front vowel,voiceless diphtong higher mid front unrounded
x_u0078,x,pulmonic fricative voiceless velar,x,voiceless velar fricative consonant,pulmonic fricative voiceless velar
o_u0254u02D0,ɔː,long lower mid back rounded,ɔː,long rounded open-mid back vowel,long lower mid back rounded
hq_u02B0u0071,ʰq,pulmonic stop pre-aspirated voiceless uvular,ʰq,pre-aspirated voiceless uvular stop consonant,pulmonic stop pre-aspirated voiceless uvular
i_u0069u0306,ĭ,overshort high front unrounded,ĭ,ultra-short unrounded close front vowel,overshort high front unrounded
t_u0074u02BC,tʼ,ejective stop unspecified coronal place,tʼ,voiceless alveolar ejective stop consonant,ejective stop unspecified coronal place
a_u0250u0303,ɐ̃,nasalized raised low central unrounded,ɐ̃,nasalized unrounded near-open central vowel,nasalized raised low central unrounded
a_u0061,a,low central unrounded,a,unrounded open front vowel,low central unrounded
a_u0061u0330u02D0,a̰ː,laryngealized long low central unrounded,a̰ː,long creaky unrounded open front vowel,laryngealized long low central unrounded
mpw_u006Du0070u02B7,mpʷ,pulmonic stop prenasalized voiceless labialized bilabial,ⁿpʷ,pre-nasalized labialized voiceless bilabial stop consonant,pulmonic stop prenasalized voiceless labialized bilabial
pf_u0070u0066u02BC,pfʼ,ejective affricate bilabial labio-dental,pfʼ,voiceless labio-dental ejective affricate consonant,ejective affricate bilabial labio-dental
xj_u0078u02B2,xʲ,pulmonic fricative voiceless palatalized velar,xʲ,palatalized voiceless velar fricative consonant,pulmonic fricative voiceless palatalized velar
n_u0272u0325,ɲ̥,pulmonic nasal voiceless palatal,ɲ̊,devoiced voiced palatal nasal consonant,pulmonic nasal voiceless palatal
h_u0266,ɦ,pulmonic fricative voiced glottal,ɦ,voiced glottal fricative consonant,pulmonic fricative voiced glottal
tpj_u0074u0070u02B2,tpʲ,pulmonic stop voiceless palatalized bilabial alveolar,tpʲ,palatalized voiceless alveolar-and-bilabial stop consonant,pulmonic stop voiceless palatalized bilabial alveolar
_u1D91,ᶑ,implosive stop voiced retroflex,ᶑ,voiced retroflex implosive consonant,implosive stop voiced retroflex
oi_u006Fu0069,oi,diphtong high higher mid front back unrounded rounded rising fronting unrounding,oi,from rounded close-mid back to unrounded close front diphthong,diphtong high higher mid front back unrounded rounded rising fronting unrounding
a_u0061u0330,a̰,laryngealized low central unrounded,a̰,creaky unrounded open front vowel,laryngealized low central unrounded
e_u0065u0330,ḛ,laryngealized higher mid front unrounded,ḛ,creaky unrounded close-mid front vowel,laryngealized higher mid front unrounded
kx_u006Bu0078,kx,pulmonic affricate voiceless velar,kx,voiceless velar affricate consonant,pulmonic affricate voiceless velar
i_u0069u0303u02D0,ĩː,nasalized long high front unrounded,ĩː,long nasalized unrounded close front vowel,nasalized long high front unrounded
gb_u0260u0253,ɠɓ,implosive stop voiced bilabial velar,ɠɓ,from voiced velar implosive to voiced bilabial implosive cluster,implosive stop voiced bilabial velar
r_u0072u031D,r̝,pulmonic fricative trill voiced alveolar,r̝,raised voiced alveolar trill consonant,pulmonic fricative trill voiced alveolar
pw_u0070u02B7u02BC,pʷʼ,ejective stop labialized bilabial,pʼʷ,labialized voiceless bilabial ejective stop consonant,ejective stop labialized bilabial
ngj_u014Bu02B2,ŋʲ,pulmonic nasal voiced palatalized velar,ŋʲ,palatalized voiced velar nasal consonant,pulmonic nasal voiced palatalized velar
ao_u0061u006F,ao,diphtong higher mid low central back unrounded rounded rising backing rounding,ao,from unrounded open front to rounded close-mid back diphthong,diphtong higher mid low central back unrounded rounded rising backing rounding
ae_u00E6u0303,æ̃,nasalized raised low front unrounded,æ̃,nasalized unrounded near-open front vowel,nasalized raised low front unrounded
nts_u006Eu032Au0074u032Au0073u032A,n̪t̪s̪,pulmonic affricate sibilant prenasalized voiceless alveolar,ⁿts̪,pre-nasalized voiceless dental sibilant affricate consonant,pulmonic affricate sibilant prenasalized voiceless alveolar
_u0259,ə,unspecified mid central unrounded,ə,unrounded mid central vowel,unspecified mid central unrounded
oe_u006Fu025B,oɛ,diphtong higher mid lower mid front back unrounded rounded lowering fronting unrounding,oɛ,from rounded close-mid back to unrounded open-mid front diphthong,diphtong higher mid lower mid front back unrounded rounded lowering fronting unrounding
l_u026C,ɬ,pulmonic fricative lateral voiceless unspecified coronal place,ɬ,voiceless alveolar lateral fricative consonant,pulmonic fricative lateral voiceless unspecified coronal place
dj_u0064u02B2,dʲ,pulmonic stop voiced palatalized alveolar,dʲ,palatalized voiced alveolar stop consonant,pulmonic stop voiced palatalized alveolar
qpf_u0239u0066,ȹf,pulmonic affricate sibilant voiceless labio-dental,pf,voiceless labio-dental affricate consonant,pulmonic affricate sibilant voiceless labio-dental
nj_u006Eu032Au02B2,n̪ʲ,pulmonic nasal voiced palatalized dental,n̪ʲ,palatalized voiced dental nasal consonant,pulmonic nasal voiced palatalized dental
u_u0289u0303,ʉ̃,nasalized high central rounded,ʉ̃,nasalized rounded close central vowel,nasalized high central rounded
b_u0062,b,pulmonic stop voiced bilabial,b,voiced bilabial stop consonant,pulmonic stop voiced bilabial
k_u006Bu01C0u0294,kǀʔ,click stop voiceless dental velar glottal,ǀʔ,from voiceless dental click to voiceless glottal stop cluster,click stop voiceless dental velar glottal
ae_u0061u0303u0065u0303,ãẽ,nasalized diphtong higher mid low front central unrounded rising fronting,ãẽ,from nasalized unrounded open front to nasalized unrounded close-mid front diphthong,nasalized diphtong higher mid low front central unrounded rising fronting
tpnm_u0074u0320u0070u006Eu0320u006D,t̠pn̠m,pulmonic stop voiceless bilabial palato-alveolar nasal release,t̠pⁿ,from voiceless post-alveolar stop to with-nasal-release voiceless bilabial stop cluster,pulmonic stop voiceless bilabial palato-alveolar nasal release
r_u027A,ɺ,pulmonic tap/flap lateral alveolar,ɺ,voiced alveolar lateral tap consonant,pulmonic tap/flap lateral alveolar
jn_u025Fu0272,ɟɲ,pulmonic stop voiced palatal,ɟⁿ,with-nasal-release voiced palatal stop consonant,pulmonic stop voiced palatal
i_u0069u0303,ĩ,nasalized high front unrounded,ĩ,nasalized unrounded close front vowel,nasalized high front unrounded
d_u0257,ɗ,implosive stop voiced unspecified coronal place,ɗ,voiced dental implosive consonant,implosive stop voiced unspecified coronal place
kh_u006Bu01C3u02B0,kǃʰ,click stop aspirated voiceless palato-alveolar velar,ǃʰ,aspirated voiceless alveolar click consonant,click stop aspirated voiceless palato-alveolar velar
qh_u0071u02B0,qʰ,pulmonic stop aspirated voiceless uvular,qʰ,aspirated voiceless uvular stop consonant,pulmonic stop aspirated voiceless uvular
s_u0073u032Au02BC,s̪ʼ,ejective fricative sibilant dental,s̪ʼ,voiceless dental ejective sibilant fricative consonant,ejective fricative sibilant dental
mj_u006Du02B2,mʲ,pulmonic nasal voiced palatalized bilabial,mʲ,palatalized voiced bilabial nasal consonant,pulmonic nasal voiced palatalized bilabial
phw_u0070u02B0u02B7,pʰʷ,pulmonic stop aspirated voiceless labialized bilabial,pʷʰ,labialized aspirated voiceless bilabial stop consonant,pulmonic stop aspirated voiceless labialized bilabial
ia_u0069u0061,ia,diphtong high low front central unrounded lowering backing,ia,from unrounded close front to unrounded open front diphthong,diphtong high low front central unrounded lowering backing
l_u006Cu0325,l̥,pulmonic approximant lateral voiceless unspecified coronal place,l̥,devoiced voiced alveolar lateral approximant consonant,pulmonic approximant lateral voiceless unspecified coronal place
c_u0063u02BC,cʼ,ejective stop palatal,cʼ,voiceless palatal ejective stop consonant,ejective stop palatal
ht_u02B0u0074,ʰt,pulmonic stop pre-aspirated voiceless alveolar,ʰt,pre-aspirated voiceless alveolar stop consonant,pulmonic stop pre-aspirated voiceless alveolar
ngmkp_u014Bu006Du006Bu0070,ŋmkp,pulmonic stop prenasalized voiceless bilabial velar,ⁿkp,from pre-nasalized voiceless velar stop to voiceless bilabial stop cluster,pulmonic stop prenasalized voiceless bilabial velar
_u028Cu0303u02D0,ʌ̃ː,nasalized long lower mid back unrounded,ʌ̃ː,long nasalized unrounded open-mid back vowel,nasalized long lower mid back unrounded
eu_u025Bu0075,ɛu,diphtong high lower mid front back unrounded rounded rising backing rounding,ɛu,from unrounded open-mid front to rounded close back diphthong,diphtong high lower mid front back unrounded rounded rising backing rounding
hp_u02B0u0070,ʰp,pulmonic stop pre-aspirated voiceless bilabial,ʰp,pre-aspirated voiceless bilabial stop consonant,pulmonic stop pre-aspirated voiceless bilabial
y_u0079u0330,y̰,laryngealized high front rounded,y̰,creaky rounded close front vowel,laryngealized high front rounded
au_u0061u0289,aʉ,diphtong high low central unrounded rounded rising rounding,aʉ,from unrounded open front to rounded close central diphthong,diphtong high low central unrounded rounded rising rounding
tp_u0074u0320u0070,t̠p,pulmonic stop voiceless bilabial retracted,t̠p,from voiceless post-alveolar stop to voiceless bilabial stop cluster,pulmonic stop voiceless bilabial retracted
nz_u006Eu007A,nz,pulmonic fricative sibilant prenasalized voiced alveolar,ⁿz,pre-nasalized voiced alveolar sibilant fricative consonant,pulmonic fricative sibilant prenasalized voiced alveolar
pjh_u0070u02B2u02B0,pʲʰ,pulmonic stop aspirated voiceless palatalized bilabial,pʲʰ,palatalized aspirated voiceless bilabial stop consonant,pulmonic stop aspirated voiceless palatalized bilabial
zg_u0292u02E0,ʒˠ,pulmonic fricative sibilant voiced velarized palato-alveolar,ʒˠ,velarized voiced post-alveolar sibilant fricative consonant,pulmonic fricative sibilant voiced velarized palato-alveolar
ai_u0061u026A,aɪ,diphtong lowered high low front central unrounded rising fronting,aɪ,from unrounded open front to unrounded near-close near-front diphthong,diphtong lowered high low front central unrounded rising fronting
e_u0065u0259,eə,diphtong higher mid front central unrounded backing,eə,from unrounded close-mid front to unrounded mid central diphthong,diphtong higher mid front central unrounded backing
mpj_u006Du0070u02B2,mpʲ,pulmonic stop prenasalized voiceless palatalized bilabial,ⁿpʲ,pre-nasalized palatalized voiceless bilabial stop consonant,pulmonic stop prenasalized voiceless palatalized bilabial
i_u0069,i,high front unrounded,i,unrounded close front vowel,high front unrounded
_u0259u0330,ə̰,laryngealized higher mid central unrounded,ə̰,creaky unrounded mid central vowel,laryngealized higher mid central unrounded
ai_u0061u0069,ai,diphtong high low front central unrounded rising fronting,ai,from unrounded open front to unrounded close front diphthong,diphtong high low front central unrounded rising fronting
g_u0261u0324,ɡ̤,pulmonic stop breathy voiced velar,gʱ,breathy voiced velar stop consonant,pulmonic stop breathy voiced velar
r_u027Eu0330,ɾ̰,pulmonic tap/flap voiced laryngealized alveolar,ɾ̰,creaky voiced alveolar tap consonant,pulmonic tap/flap voiced laryngealized alveolar
k_u006Bu01C3u0294,kǃʔ,click stop voiceless palato-alveolar velar glottal,ǃʔ,from voiceless alveolar click to voiceless glottal stop cluster,click stop voiceless palato-alveolar velar glottal
nt_u006Eu0074,nt,pulmonic stop prenasalized voiceless unspecified coronal place,ⁿt,pre-nasalized voiceless alveolar stop consonant,pulmonic stop prenasalized voiceless unspecified coronal place
uu_u0075u0075u0325,uu̥,voiceless diphtong high back rounded,u̥ː,long devoiced rounded close back vowel,voiceless diphtong high back rounded
tsjh_u0074u0073u02B2u02B0,tsʲʰ,pulmonic affricate sibilant aspirated voiceless palatalized unspecified coronal place,tsʲʰ,palatalized aspirated voiceless alveolar sibilant affricate consonant,pulmonic affricate sibilant aspirated voiceless palatalized unspecified coronal place
k_u006Bu01C0,kǀ,click stop voiceless dental velar,ǀ,voiceless dental click consonant,click stop voiceless dental velar
n_u0273u0324,ɳ̤,pulmonic nasal breathy voiced retroflex,ɳʱ,breathy voiced retroflex nasal consonant,pulmonic nasal breathy voiced retroflex
kw_u006Bu02B7,kʷ,pulmonic stop voiceless labialized velar,kʷ,labialized voiceless velar stop consonant,pulmonic stop voiceless labialized velar
y_u0079u02D0,yː,long high front rounded,yː,long rounded close front vowel,long high front rounded
tj_u0074u032Au02B2,t̪ʲ,pulmonic stop voiceless palatalized dental unspecified coronal place,t̪ʲ,palatalized voiceless dental stop consonant,pulmonic stop voiceless palatalized dental unspecified coronal place
ts_u0074u0320u0330u0283u0330,t̠̰ʃ̰,pulmonic affricate sibilant voiceless laryngealized palato-alveolar,tʃ̰,creaky voiceless post-alveolar sibilant affricate consonant,pulmonic affricate sibilant voiceless laryngealized palato-alveolar
ts_u0074u032Au0073u032Au02BC,t̪s̪ʼ,ejective affricate sibilant dental,ts̪ʼ,voiceless dental ejective sibilant affricate consonant,ejective affricate sibilant dental
tch_u0074u0255u02B0,tɕʰ,pulmonic affricate sibilant aspirated voiceless palatalized palato-alveolar,tɕʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant,pulmonic affricate sibilant aspirated voiceless palatalized palato-alveolar
a_u0252u02D0,ɒː,long low back rounded,ɒː,long rounded open back vowel,long low back rounded
ngmw_u014Bu006Du02B7,ŋmʷ,pulmonic nasal voiced labialized bilabial velar,ŋmʷ,labialized voiced velar-and-bilabial nasal consonant,pulmonic nasal voiced labialized bilabial velar
br_u03B2u027E,βɾ,pulmonic fricative tap/flap voiced bilabial alveolar,βʳ,with-trilled-release voiced bilabial fricative consonant,pulmonic fricative tap/flap voiced bilabial alveolar
ncc_u0272u0063u0255,ɲcɕ,pulmonic affricate prenasalized voiceless palatalized palato-alveolar,ⁿtɕʲ,pre-nasalized palatalized voiceless alveolo-palatal sibilant affricate consonant,pulmonic affricate prenasalized voiceless palatalized palato-alveolar
u_u028Au0259,ʊə,diphtong lowered high higher mid central back unrounded rounded lowering fronting unrounding,ʊə,from rounded near-close near-back to unrounded mid central diphthong,diphtong lowered high higher mid central back unrounded rounded lowering fronting unrounding
oe_u0153,œ,lower mid front rounded,œ,rounded open-mid front vowel,lower mid front rounded
ae_u00E6,æ,raised low front unrounded,æ,unrounded near-open front vowel,raised low front unrounded
e_u0065u0303,ẽ,nasalized unspecified mid front unrounded,ẽ,nasalized unrounded close-mid front vowel,nasalized unspecified mid front unrounded
r_u027D,ɽ,pulmonic tap/flap voiced retroflex,ɽ,voiced retroflex tap consonant,pulmonic tap/flap voiced retroflex
tsj_u0074u0320u0283u02B2,t̠ʃʲ,pulmonic affricate sibilant voiceless palatalized palato-alveolar retracted,tʃʲ,palatalized voiceless post-alveolar sibilant affricate consonant,pulmonic affricate sibilant voiceless palatalized palato-alveolar retracted
nz_u006Eu0320u0292,n̠ʒ,pulmonic fricative sibilant prenasalized voiced palato-alveolar,ⁿʒ,pre-nasalized voiced post-alveolar sibilant fricative consonant,pulmonic fricative sibilant prenasalized voiced palato-alveolar
l_u006Cu032Au0330,l̪̰,pulmonic approximant lateral voiced laryngealized dental,l̪̰,creaky voiced dental lateral approximant consonant,pulmonic approximant lateral voiced laryngealized dental
l_u006Cu0324,l̤,pulmonic approximant lateral breathy voiced alveolar,lʱ,breathy voiced alveolar lateral approximant consonant,pulmonic approximant lateral breathy voiced alveolar
e_u0065u0330u0303u0259u0330u0303,ḛ̃ə̰̃,laryngealized diphtong higher mid front central unrounded backing nasalizing,ḛ̃ə̰̃,from nasalized creaky unrounded close-mid front to nasalized creaky unrounded mid central diphthong,laryngealized diphtong higher mid front central unrounded backing nasalizing
u_u028Au02D0,ʊː,long lowered high back rounded,ʊː,long rounded near-close near-back vowel,long lowered high back rounded
ngkw_u014Bu006Bu02B7,ŋkʷ,pulmonic stop prenasalized voiceless labialized velar,ⁿkʷ,pre-nasalized labialized voiceless velar stop consonant,pulmonic stop prenasalized voiceless labialized velar
n_u0274,ɴ,pulmonic nasal voiced uvular,ɴ,voiced uvular nasal consonant,pulmonic nasal voiced uvular
rj_u027Eu02B2,ɾʲ,pulmonic tap/flap voiced palatalized alveolar,ɾʲ,palatalized voiced alveolar tap consonant,pulmonic tap/flap voiced palatalized alveolar
e_u025Bu0259,ɛə,diphtong higher mid lower mid front central unrounded rising backing,ɛə,from unrounded open-mid front to unrounded mid central diphthong,diphtong higher mid lower mid front central unrounded rising backing
t_u0074u032Au0330,t̪̰,pulmonic stop voiceless laryngealized dental,t̪̰,creaky voiceless dental stop consonant,pulmonic stop voiceless laryngealized dental
dn_u0256u0273,ɖɳ,pulmonic stop voiced retroflex,ɖⁿ,with-nasal-release voiced retroflex stop consonant,pulmonic stop voiced retroflex
r_u027Au0323,ɺ̣,pulmonic tap/flap lateral retroflex,ɺ̣,voiced retroflex lateral tap consonant,pulmonic tap/flap lateral retroflex
d_u0256u0330,ɖ̰,pulmonic stop voiced laryngealized retroflex,ɖ̰,creaky voiced retroflex stop consonant,pulmonic stop voiced laryngealized retroflex
g_u0260,ɠ,implosive stop voiced velar,ɠ,voiced velar implosive consonant,implosive stop voiced velar
t_u0074u02D0,tː,pulmonic stop voiceless long alveolar,tː,long voiceless alveolar stop consonant,pulmonic stop voiceless long alveolar
i_u0069u0330u0303,ḭ̃,nasalized laryngealized high front unrounded,ḭ̃,nasalized creaky unrounded close front vowel,nasalized laryngealized high front unrounded
ts_u0074u0073u02E4u02BC,tsˤʼ,ejective affricate sibilant pharyngealized alveolar,tsʼˤ,pharyngealized voiceless alveolar ejective sibilant affricate consonant,ejective affricate sibilant pharyngealized alveolar
a_u0061u0330u0303,ã̰,nasalized laryngealized low central unrounded,ã̰,nasalized creaky unrounded open front vowel,nasalized laryngealized low central unrounded
kw_u006Bu02B7u02BC,kʷʼ,ejective stop labialized velar,kʼʷ,labialized voiceless velar ejective stop consonant,ejective stop labialized velar
lj_u006Cu0320u02B2,l̠ʲ,pulmonic approximant lateral voiced palatalized retracted,l̠ʲ,palatalized voiced post-alveolar lateral approximant consonant,pulmonic approximant lateral voiced palatalized retracted
bb_u0062u03B2,bβ,pulmonic affricate voiced bilabial,bβ,voiced bilabial affricate consonant,pulmonic affricate voiced bilabial
ui_u0264u0069,ɤi,diphtong high higher mid front back unrounded rising fronting,ɤi,from unrounded close-mid back to unrounded close front diphthong,diphtong high higher mid front back unrounded rising fronting
nd_u006Eu0064,nd,pulmonic stop prenasalized voiced unspecified coronal place,ⁿd,pre-nasalized voiced alveolar stop consonant,pulmonic stop prenasalized voiced unspecified coronal place
dz_u0064u0324u0292u0324,d̤ʒ̤,pulmonic affricate sibilant breathy voiced palato-alveolar,dʒʱ,breathy voiced post-alveolar sibilant affricate consonant,pulmonic affricate sibilant breathy voiced palato-alveolar
d_u00F0u0320,ð̠,pulmonic fricative voiced alveolar,ð̠,voiced alveolar fricative consonant,pulmonic fricative voiced alveolar
h_u029C,ʜ,pulmonic fricative voiceless epiglottal,ʜ,voiceless epiglottal fricative consonant,pulmonic fricative voiceless epiglottal
mbb_u006Du0062u03B2,mbβ,pulmonic affricate prenasalized voiced bilabial,ⁿbβ,pre-nasalized voiced bilabial affricate consonant,pulmonic affricate prenasalized voiced bilabial
ou_u006Fu0075,ou,diphtong high higher mid back rounded rising,ou,from rounded close-mid back to rounded close back diphthong,diphtong high higher mid back rounded rising
dr_u0256u027D,ɖɽ,pulmonic stop trilled release voiced retroflex,ɖʳ,with-trilled-release voiced retroflex stop consonant,pulmonic stop trilled release voiced retroflex
s_u0282u02BC,ʂʼ,ejective fricative sibilant retroflex,ʂʼ,voiceless retroflex ejective sibilant fricative consonant,ejective fricative sibilant retroflex
cc_u0063u0063u0327,cç,pulmonic affricate voiceless palatal,cç,voiceless palatal affricate consonant,pulmonic affricate voiceless palatal
pw_u0070u02B7,pʷ,pulmonic stop voiceless labialized bilabial,pʷ,labialized voiceless bilabial stop consonant,pulmonic stop voiceless labialized bilabial
r_u0072u032A,r̪,pulmonic trill voiced dental,r̪,voiced dental trill consonant,pulmonic trill voiced dental
khw_u03C7u02B7,χʷ,pulmonic fricative voiceless labialized uvular,χʷ,labialized voiceless uvular fricative consonant,pulmonic fricative voiceless labialized uvular
r_u0072u02E4,rˤ,pulmonic trill voiced pharyngealized alveolar,rˤ,pharyngealized voiced alveolar trill consonant,pulmonic trill voiced pharyngealized alveolar
l_u006Cu032Au0325,l̪̥,pulmonic approximant lateral voiceless dental,l̪̥,devoiced voiced dental lateral approximant consonant,pulmonic approximant lateral voiceless dental
rr_u0072u0072,rr,pulmonic unspecified rhotic voiced unspecified coronal place,r,voiced alveolar trill consonant,pulmonic unspecified rhotic voiced unspecified coronal place
n_u006Eu0324,n̤,pulmonic nasal breathy voiced alveolar,nʱ,breathy voiced alveolar nasal consonant,pulmonic nasal breathy voiced alveolar
eo_u0065u006F,eo,diphtong higher mid front back unrounded rounded backing rounding,eo,from unrounded close-mid front to rounded close-mid back diphthong,diphtong higher mid front back unrounded rounded backing rounding
u_u0075u028C,uʌ,diphtong high lower mid back unrounded rounded lowering unrounding,uʌ,from rounded close back to unrounded open-mid back diphthong,diphtong high lower mid back unrounded rounded lowering unrounding
tl_u0074u0330u026Cu0330,t̰ɬ̰,pulmonic affricate lateral voiceless laryngealized alveolar,tɬ̰,creaky voiceless alveolar lateral affricate consonant,pulmonic affricate lateral voiceless laryngealized alveolar
g_u0262,ɢ,pulmonic stop voiced uvular,ɢ,voiced uvular stop consonant,pulmonic stop voiced uvular
s_u0283,ʃ,pulmonic fricative sibilant voiceless palato-alveolar,ʃ,voiceless post-alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless palato-alveolar
kh_u006Bu02B0,kʰ,pulmonic stop aspirated voiceless velar,kʰ,aspirated voiceless velar stop consonant,pulmonic stop aspirated voiceless velar
e_u0065u0324,e̤,breathy voiced higher mid front unrounded,e̤,breathy unrounded close-mid front vowel,breathy voiced higher mid front unrounded
c_u0063u0327,ç,pulmonic fricative voiceless palatal,ç,voiceless palatal sibilant fricative consonant,pulmonic fricative voiceless palatal
a_u0259u0061,əa,diphtong higher mid low central unrounded lowering,əa,from unrounded mid central to unrounded open front diphthong,diphtong higher mid low central unrounded lowering
hj_u0266u02B2,ɦʲ,pulmonic fricative voiced palatalized glottal,ɦʲ,palatalized voiced glottal fricative consonant,pulmonic fricative voiced palatalized glottal
nmtpj_u006Eu006Du0074u0070u02B2,nmtpʲ,pulmonic stop prenasalized voiceless palatalized bilabial alveolar,ⁿtpʲ,from pre-nasalized voiceless alveolar stop to palatalized voiceless bilabial stop cluster,pulmonic stop prenasalized voiceless palatalized bilabial alveolar
d_u0064u0320,d̠,pulmonic stop voiced palato-alveolar,d̠,voiced post-alveolar stop consonant,pulmonic stop voiced palato-alveolar
dl_u0256u026D,ɖɭ,pulmonic stop approximant lateral voiced retroflex,ɖˡ,with-lateral-release voiced retroflex stop consonant,pulmonic stop approximant lateral voiced retroflex
hk_u02B0u006B,ʰk,pulmonic stop pre-aspirated voiceless velar,ʰk,pre-aspirated voiceless velar stop consonant,pulmonic stop pre-aspirated voiceless velar
nts_u0273u0074u0282,ɳtʂ,pulmonic affricate sibilant prenasalized voiceless retroflex,ⁿʈʂ,pre-nasalized voiceless retroflex sibilant affricate consonant,pulmonic affricate sibilant prenasalized voiceless retroflex
n_u0272,ɲ,pulmonic nasal voiced palatal,ɲ,voiced palatal nasal consonant,pulmonic nasal voiced palatal
sg_u0283u02E0,ʃˠ,pulmonic fricative sibilant voiceless velarized palato-alveolar,ʃˠ,velarized voiceless post-alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless velarized palato-alveolar
u_u0075u0303u0259u0303,ũə̃,diphtong high higher mid central back unrounded rounded lowering fronting unrounding nasalizing,ũə̃,from nasalized rounded close back to nasalized unrounded mid central diphthong,diphtong high higher mid central back unrounded rounded lowering fronting unrounding nasalizing
a_u0250,ɐ,raised low central unrounded,ɐ,unrounded near-open central vowel,raised low central unrounded
tlh_u0074u026Cu02B0,tɬʰ,pulmonic affricate lateral aspirated voiceless unspecified coronal place,tɬʰ,aspirated voiceless alveolar lateral affricate consonant,pulmonic affricate lateral aspirated voiceless unspecified coronal place
gw_u0262u02B7,ɢʷ,pulmonic stop voiced labialized uvular,ɢʷ,labialized voiced uvular stop consonant,pulmonic stop voiced labialized uvular
ng_u014Bu01C0,ŋǀ,click nasal voiced dental velar,ŋǀ,voiced dental nasal-click consonant,click nasal voiced dental velar
o_u0254u0303u02D0,ɔ̃ː,nasalized long lower mid back rounded,ɔ̃ː,long nasalized rounded open-mid back vowel,nasalized long lower mid back rounded
i_u0268u0303u02D0,ɨ̃ː,nasalized long high central unrounded,ɨ̃ː,long nasalized unrounded close central vowel,nasalized long high central unrounded
tr_u0074u0072,tr,pulmonic stop trilled release voiceless alveolar,tʳ,with-trilled-release voiceless alveolar stop consonant,pulmonic stop trilled release voiceless alveolar
r_u0279,ɹ,pulmonic approximant voiced alveolar,ɹ,voiced alveolar approximant consonant,pulmonic approximant voiced alveolar
kh_u03C7u02E4,χˤ,pulmonic fricative voiceless pharyngealized uvular,χˤ,pharyngealized voiceless uvular fricative consonant,pulmonic fricative voiceless pharyngealized uvular
_u0259u0324,ə̤,breathy voiced higher mid central unrounded,ə̤,breathy unrounded mid central vowel,breathy voiced higher mid central unrounded
i_u0069u0324,i̤,breathy voiced high front unrounded,i̤,breathy unrounded close front vowel,breathy voiced high front unrounded
ai_u0061u0330u0069u0330,a̰ḭ,laryngealized diphtong high low front central unrounded rising fronting,a̰ḭ,from creaky unrounded open front to creaky unrounded close front diphthong,laryngealized diphtong high low front central unrounded rising fronting
au_u0061u0330u0075u0330,a̰ṵ,laryngealized diphtong high low central back unrounded rounded rising backing rounding,a̰ṵ,from creaky unrounded open front to creaky rounded close back diphthong,laryngealized diphtong high low central back unrounded rounded rising backing rounding
eu_u025Bu0289,ɛʉ,diphtong high lower mid front central unrounded rounded rising backing rounding,ɛʉ,from unrounded open-mid front to rounded close central diphthong,diphtong high lower mid front central unrounded rounded rising backing rounding
_u0259u0306,ə̆,overshort higher mid central unrounded,ə̆,ultra-short unrounded mid central vowel,overshort higher mid central unrounded
m_u006Du02E4,mˤ,pulmonic nasal voiced pharyngealized bilabial,mˤ,pharyngealized voiced bilabial nasal consonant,pulmonic nasal voiced pharyngealized bilabial
e_u025B,ɛ,lower mid front unrounded,ɛ,unrounded open-mid front vowel,lower mid front unrounded
e_u025Bu0330u0303,ɛ̰̃,nasalized laryngealized lower mid front unrounded,ɛ̰̃,nasalized creaky unrounded open-mid front vowel,nasalized laryngealized lower mid front unrounded
f_u0278u031E,ɸ̞,pulmonic approximant voiceless bilabial,ɸ̞,lowered voiceless bilabial fricative consonant,pulmonic approximant voiceless bilabial
nj_u006Eu02B2,nʲ,pulmonic nasal voiced palatalized unspecified coronal place,nʲ,palatalized voiced alveolar nasal consonant,pulmonic nasal voiced palatalized unspecified coronal place
l_u006Cu02E4,lˤ,pulmonic approximant lateral voiced pharyngealized unspecified coronal place,lˤ,pharyngealized voiced alveolar lateral approximant consonant,pulmonic approximant lateral voiced pharyngealized unspecified coronal place
ndz_u006Eu0064u007A,ndz,pulmonic stop affricate sibilant prenasalized voiced alveolar,ⁿdz,pre-nasalized voiced alveolar sibilant affricate consonant,pulmonic stop affricate sibilant prenasalized voiced alveolar
bw_u03B2u02B7,βʷ,pulmonic fricative voiced labialized bilabial,βʷ,labialized voiced bilabial fricative consonant,pulmonic fricative voiced labialized bilabial
ng_u014Bu01C1,ŋǁ,click nasal lateral voiced alveolar velar,ŋǁ,voiced alveolar lateral nasal-click consonant,click nasal lateral voiced alveolar velar
tl_u0074u032Au026Cu032A,t̪ɬ̪,pulmonic affricate lateral voiceless dental alveolar,tɬ̪,voiceless dental lateral affricate consonant,pulmonic affricate lateral voiceless dental alveolar
tsh_u0074u0073u02B0,tsʰ,pulmonic affricate sibilant aspirated voiceless unspecified coronal place,tsʰ,aspirated voiceless alveolar sibilant affricate consonant,pulmonic affricate sibilant aspirated voiceless unspecified coronal place
