ID,Name,Description,CLTS_BIPA,CLTS_Name,LAPSYD_Features
tswh_u0074u0073u02B7u02B0,tsʷʰ,pulmonic affricate sibilant aspirated voiceless labialized alveolar,tsʷʰ,labialized aspirated voiceless alveolar sibilant affricate consonant,pulmonic affricate sibilant aspirated voiceless labialized alveolar
mbj_u006Du0062u02B2,mbʲ,pulmonic stop prenasalized voiced palatalized bilabial,ⁿbʲ,pre-nasalized palatalized voiced bilabial stop consonant,pulmonic stop prenasalized voiced palatalized bilabial
ns_u006Eu0073,ns,pulmonic fricative sibilant prenasalized voiceless alveolar,ⁿs,pre-nasalized voiceless alveolar sibilant fricative consonant,pulmonic fricative sibilant prenasalized voiceless alveolar
a_u0061u0259,aə,diphtong higher mid low central unrounded rising,aə,from unrounded open front to unrounded mid central diphthong,diphtong higher mid low central unrounded rising
l_u026Cu032A,ɬ̪,pulmonic fricative lateral voiceless dental,ɬ̪,voiceless dental lateral fricative consonant,pulmonic fricative lateral voiceless dental
tsh_u0074u0320u0283u032Bu02B0,t̠ʃ̫ʰ,pulmonic affricate sibilant aspirated voiceless palato-alveolar retracted whistled,t̠ʃ̫ʰ,aspirated voiceless post-alveolar whistled-sibilant affricate consonant,pulmonic affricate sibilant aspirated voiceless palato-alveolar retracted whistled
ng_u014B,ŋ,pulmonic nasal voiced velar,ŋ,voiced velar nasal consonant,pulmonic nasal voiced velar
a_u0251u02D0,ɑː,long low back unrounded,ɑː,long unrounded open back vowel,long low back unrounded
rj_u0072u02B2,rʲ,pulmonic trill voiced palatalized alveolar,rʲ,palatalized voiced alveolar trill consonant,pulmonic trill voiced palatalized alveolar
h_u0127,ħ,pulmonic fricative voiceless pharyngeal,ħ,voiceless pharyngeal fricative consonant,pulmonic fricative voiceless pharyngeal
u_u0075u031D,u̝,supra high back rounded,u̝,raised rounded close back vowel,supra high back rounded
r_u0280,ʀ,pulmonic trill voiced uvular,ʀ,voiced uvular trill consonant,pulmonic trill voiced uvular
zj_u007Au032Au02B2,z̪ʲ,pulmonic fricative sibilant voiced palatalized dental,z̪ʲ,palatalized voiced dental sibilant fricative consonant,pulmonic fricative sibilant voiced palatalized dental
kh_u006Bu01C1u02B0,kǁʰ,click stop lateral aspirated voiceless alveolar velar,ǁʰ,aspirated voiceless alveolar lateral click consonant,click stop lateral aspirated voiceless alveolar velar
ue_u0075u0065,ue,diphtong high higher mid front back unrounded rounded lowering fronting unrounding,ue,from rounded close back to unrounded close-mid front diphthong,diphtong high higher mid front back unrounded rounded lowering fronting unrounding
g_u0261u01C3,ɡǃ,click stop voiced palato-alveolar velar,gǃ,voiced alveolar click consonant,click stop voiced palato-alveolar velar
au_u0061u028A,aʊ,diphtong lowered high low central back unrounded rounded rising backing rounding,aʊ,from unrounded open front to rounded near-close near-back diphthong,diphtong lowered high low central back unrounded rounded rising backing rounding
ntj_u006Eu0320u0074u0320u02B2,n̠t̠ʲ,pulmonic stop prenasalized voiceless palatalized palato-alveolar,ⁿt̠ʲ,retracted pre-nasalized palatalized voiceless alveolar stop consonant,pulmonic stop prenasalized voiceless palatalized palato-alveolar
g_u0261,ɡ,pulmonic stop voiced velar,g,voiced velar stop consonant,pulmonic stop voiced velar
w_u026Fu02D0,ɯː,long high back unrounded,ɯː,long unrounded close back vowel,long high back unrounded
w_u026Fu031E,ɯ̞,lowered high back unrounded,ɯ̞,lowered unrounded close back vowel,lowered high back unrounded
ngh_u014Bu0325u01C1u0068u0303,ŋ̥ǁh̃,click fricative nasal lateral nasalized voiceless alveolar velar glottal,ⁿǁʰ,pre-nasalized aspirated voiceless alveolar lateral click consonant,click fricative nasal lateral nasalized voiceless alveolar velar glottal
f_u0066u02E4,fˤ,pulmonic fricative voiceless pharyngealized labio-dental,fˤ,pharyngealized voiceless labio-dental fricative consonant,pulmonic fricative voiceless pharyngealized labio-dental
s_u0073u0320,s̠,pulmonic fricative sibilant voiceless retracted,s̠,retracted voiceless alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless retracted
pf_u0070u0066,pf,pulmonic affricate voiceless bilabial labio-dental,pf,voiceless labio-dental affricate consonant,pulmonic affricate voiceless bilabial labio-dental
t_u0074u032Au02BC,t̪ʼ,ejective stop dental,t̪ʼ,voiceless dental ejective stop consonant,ejective stop dental
cc_u0063u0063u0327u02BC,cçʼ,ejective affricate palatal,cçʼ,voiceless palatal ejective affricate consonant,ejective affricate palatal
