ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Glottolog_Name
diraytata_dira1242,Diraytata,Africa,5.60452,37.4026,dira1242,,Afro-Asiatic,Dirasha
mehrimehreyyetdialect_mehr1241,"Mehri, Mehreyyet dialect",Eurasia,16.793,52.473,mehr1241,,Afro-Asiatic,Mehri
ghomaraberber_ghom1257,Ghomara Berber,Africa,34.7979,-4.6696,ghom1257,,Afro-Asiatic,Ghomara
kiribati_gilb1244,Kiribati,Papunesia,-1.34,176.44,gilb1244,,Austronesian,Gilbertese
scottishgaelic_scot1245,Scottish Gaelic,Eurasia,56.7574,-5.24366,scot1245,,Indo-European,Scottish Gaelic
nanai_nana1257,Nanai,Eurasia,48.4343,134.797,nana1257,,Tungusic,Nanai
irishdonegaldialect_done1238,"Irish, Donegal dialect",Eurasia,,,done1238,,Indo-European,Donegal
gooniyandi_goon1238,Gooniyandi,Australia,-18.4073,126.351,goon1238,,Bunaban,Gooniyandi
gojri_gnau1240,Gojri,Papunesia,-3.59093,142.196,gnau1240,,Nuclear Torricelli,Gnau
quagelao_qaua1234,Qua Gelao,Eurasia,26.155438,106.16455,qaua1234,,Tai-Kadai,Central Gelao-Qau
grebo_sout2826,Grebo,Africa,4.47607,-7.56872,sout2826,,Atlantic-Congo,Southern Grebo
wayuu_wayu1243,Wayuu,South America,11.395566,-72.199791,wayu1243,,Arawakan,Wayuu
guaraniparaguayan_para1311,"Guarani, Paraguayan",South America,-25.60551,-57.08816,para1311,,Tupian,Paraguayan Guaraní
gumuzsouthern_gumu1244,"Gumuz, Southern",Africa,11.05,35.93,gumu1244,,Gumuz,Northern Gumuz
guambiano_guam1248,Guambiano,South America,2.55849,-76.582,guam1248,,Barbacoan,Guambiano
kunwinjku_gunw1252,Kunwinjku,Australia,-12.3398,133.358,gunw1252,,Gunwinyguan,Bininj Kun-Wok
ache_ache1246,Ache,South America,-25.5865,-56.4697,ache1246,,Tupian,Aché
malekujaika_male1297,Maléku Jaika,North America,10.7485,-84.7318,male1297,,Chibchan,Maléku Jaíka
kukuyalanji_kuku1273,Kuku Yalanji,Australia,-16.0036,145.188,kuku1273,,Pama-Nyungan,Kuku-Yalanji
kalami_kala1373,Kalami,Eurasia,35.5303,72.5738,kala1373,,Indo-European,Gawri
gunin_kwin1241,Gunin,Australia,-14.2515,126.562,kwin1241,,Worrorran,Kwini
kayardild_kaya1319,Kayardild,Australia,-17.0695,139.489,kaya1319,,Tangkic,Kayardild
hatamtinamdialect_tina1247,"Hatam, Tinam dialect",Papunesia,,,tina1247,,Hatam-Mansim,Tinam
oromoharar_east2652,"Oromo, Harar",Africa,8.67428,41.4395,east2652,,Afro-Asiatic,Eastern Oromo
hausa_haus1257,Hausa,Africa,11.1513,8.7804,haus1257,,Afro-Asiatic,Hausa
hawaiian_hawa1245,Hawaiian,Papunesia,19.6297,-155.43,hawa1245,,Austronesian,Hawaiian
hebrewmodernashkenazic_hebr1245,Hebrew (modern Ashkenazic),Eurasia,31.1056,35.0179,hebr1245,,Afro-Asiatic,Modern Hebrew
hindi_hind1269,Hindi,Eurasia,25.0,77.0,hind1269,,Indo-European,Hindi
